id,trim,subTrim,condition,isOneOwner,mileage,age,color,disp_cont,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount, price 
5151,550,unsp,New,False,12,1,Black,4.6,Gasoline,IA,WNC,unsp,unsp,unsp,0," $103,725.00 "
5154,550,unsp,New,False,12,1,Silver,4.6,Gasoline,MO,WNC,unsp,Alloy,18,63," $109,965.00 "
5156,550,unsp,New,False,6,1,Black,4.6,Gasoline,NY,Mid,Premium,Alloy,19,78," $112,685.00 "
5157,550,unsp,New,False,10,1,Blue,4.6,Gasoline,WI,ENC,Premium,unsp,unsp,74," $111,725.00 "
5160,550,unsp,New,False,11,1,Silver,4.6,Gasoline,NJ,Mid,Premium,Alloy,unsp,69," $111,365.00 "
5161,550,unsp,New,False,6,1,Blue,4.6,Gasoline,NY,Mid,unsp,unsp,20,3," $111,365.00 "
5165,550,unsp,New,False,1,2,Silver,4.6,Gasoline,NY,Mid,unsp,unsp,unsp,3," $118,775.00 "
5166,550,unsp,New,False,6,1,Black,4.6,unsp,NY,Mid,unsp,unsp,unsp,61," $107,735.00 "
5168,550,unsp,New,False,10,1,Black,4.6,Gasoline,WA,Pac,unsp,unsp,unsp,55," $118,065.00 "
5170,550,unsp,New,False,21,1,Silver,4.6,Gasoline,MA,New,unsp,unsp,20,10," $111,365.00 "
5171,550,unsp,New,False,21,1,Silver,4.6,Gasoline,OH,ENC,Premium,unsp,unsp,72," $114,165.00 "
5172,550,unsp,New,False,14,1,Silver,4.6,Gasoline,CO,Mtn,unsp,unsp,19,12," $108,785.00 "
5173,550,unsp,New,False,27,1,Silver,4.6,Gasoline,PA,Mid,Premium,Alloy,20,74," $111,365.00 "
5175,550,unsp,New,False,15,1,Blue,4.6,Gasoline,NJ,Mid,Premium,Alloy,unsp,66," $105,485.00 "
5177,550,unsp,New,False,15,1,White,4.6,Gasoline,NJ,Mid,Premium,Alloy,19,76," $109,210.00 "
5178,550,unsp,New,False,17,2,Black,4.6,Gasoline,NC,SoA,unsp,unsp,unsp,11," $117,230.00 "
5180,550,unsp,New,False,12,1,Black,4.6,unsp,NJ,Mid,unsp,unsp,18,90," $117,115.00 "
5182,550,unsp,New,False,16,1,Silver,4.6,Gasoline,NY,Mid,Premium,unsp,unsp,74," $122,125.00 "
5187,550,unsp,New,False,9,1,Black,4.6,Gasoline,PA,Mid,unsp,unsp,19,7," $104,095.00 "
5192,550,unsp,New,False,10,2,Blue,4.6,Gasoline,NY,Mid,Premium,Alloy,unsp,55," $107,315.00 "
5193,550,unsp,New,False,12,1,Silver,4.6,Gasoline,MA,New,Premium,unsp,unsp,74," $107,385.00 "
5195,550,unsp,New,False,25,1,Black,4.6,Gasoline,MA,New,unsp,unsp,19,12," $115,565.00 "
5199,550,unsp,New,False,9,1,Black,4.6,Gasoline,NY,Mid,unsp,unsp,unsp,30," $120,680.00 "
5201,550,unsp,New,False,14,2,Black,4.6,Gasoline,OH,ENC,Premium,unsp,unsp,64," $124,545.00 "
5202,550,unsp,New,False,10,1,Black,4.6,Gasoline,FL,SoA,unsp,unsp,unsp,0," $119,675.00 "
5204,550,unsp,New,False,2999,1,Black,4.6,Gasoline,WI,ENC,Premium,unsp,unsp,74," $110,935.00 "
5205,550,unsp,New,False,12,1,Silver,4.6,Gasoline,NY,Mid,unsp,unsp,19,3," $110,435.00 "
5208,550,unsp,New,False,11,1,Black,4.6,Gasoline,NJ,Mid,Premium,Alloy,unsp,66," $103,175.00 "
5209,550,unsp,New,False,5,1,Black,4.6,Gasoline,NY,Mid,unsp,unsp,unsp,1," $110,585.00 "
5210,550,unsp,New,False,21,1,Gray,4.6,Gasoline,IL,ENC,unsp,unsp,18,81," $107,825.00 "
5213,550,unsp,New,False,5,2,unsp,4.6,Gasoline,NY,Mid,unsp,unsp,unsp,1," $104,485.00 "
5214,550,unsp,New,False,3,1,unsp,uns,unsp,MI,ENC,unsp,unsp,unsp,0," $109,565.00 "
