iyear,imonth,iday,city,country,region,provstate,nkill,nkillter
2007,7,18,Duwailiya,95,10,Diyala,29,0
1991,7,28,Salociai,359,9,,0,
2005,10,23,Doti district,141,6,Far-Western,0,0
1987,9,10,Lahore,153,6,Punjab,2,
1981,8,13,Unknown,83,2,Quiche,,
1991,1,25,Myaukkamai,138,5,,1,
2016,10,26,Unknown,214,9,Donetsk,,0
2016,7,2,Khalidiyah,95,10,Al Anbar,0,0
2013,2,18,Sitra,18,10,Central,0,0
1979,6,4,Isfahan,94,10,Esfahan,0,
2013,11,26,Buenaventura,45,3,Valle del Cauca,0,0
2013,12,1,Baidoa district,182,11,Bay,,
2011,11,11,Jaar,228,10,Abyan,0,0
1974,3,13,Belfast,603,8,Northern Ireland,1,
2010,3,0,Orakzai district,153,6,Federally Administered Tribal Areas,1,0
1975,2,1,New York City,217,1,New York,0,
2006,4,7,Welikanda,186,6,North Central,2,0
2015,6,10,Jenin,155,10,West Bank,1,1
1976,5,26,Bilbao,185,8,Biscay,0,
1981,6,16,San Jose,49,2,,0,
2006,10,5,Doom Dooma,92,6,Assam,0,0
2015,2,10,Popasna,214,9,Luhansk,1,0
2012,6,2,Imphal,92,6,Manipur,0,0
2012,7,25,Chahar Dara,4,6,Kunduz,4,0
2010,8,17,Baghdad,95,10,Baghdad,8,0
1975,3,25,Ortuella,185,8,Biscay,,
2005,7,2,Baghdad,95,10,Baghdad,0,0
2015,5,19,Tambolak,153,6,Khyber Pakhtunkhwa,1,1
2011,2,23,Ataq,228,10,Shabwah,0,0
1983,2,28,Ballygawley,603,8,Northern Ireland,1,
2015,6,22,Hamamiyat,95,10,Saladin,2,0
1977,9,13,Guadalajara,130,1,,0,
2013,2,19,Mogadishu,182,11,Banaadir,3,0
2004,2,1,Boulakharachef,6,10,Skikda,2,0
2006,8,26,,205,5,Yala,2,0
2009,11,23,Puli Alam,4,6,Logar,0,0
2015,6,23,Sapa Bulak,160,5,Basilan,2,0
2009,3,29,Quetta,153,6,Balochistan,0,0
2013,5,4,Yarang district,205,5,Pattani,0,0
2016,11,26,Zareenabad,153,6,Khyber Pakhtunkhwa,1,0
2013,12,8,Baqubah,95,10,Diyala,1,0
2015,2,19,Baghdad,95,10,Baghdad,0,0
1995,10,7,Cotabato City,160,5,Maguindanao,0,
2016,8,20,Ukpo,147,11,Anambra,1,0
1994,10,12,Bordj El Bahri,6,10,,1,
2015,6,20,Bujumbura,34,11,Bujumbura Mairie,0,0
2012,11,2,Maiduguri,147,11,Borno,2,0
1988,12,11,Matucana,159,3,Lima,0,
1984,3,2,Medellin,45,3,Antioquia,0,
1989,8,2,Mantaro district,159,3,Junin,0,
2012,3,28,Multan,153,6,Punjab,1,0
2002,11,4,Grozny,167,9,Chechnya (Republic),17,2
2008,6,28,Karez,4,6,Logar,2,0
2014,10,31,Karachi,153,6,Sindh,0,0
1994,2,1,Newry,603,8,Northern Ireland,0,
1996,8,30,Bogota,45,3,Bogota,5,
1972,2,2,Stewartstown,603,8,Northern Ireland,1,
1989,10,15,Rafah,155,10,Gaza Strip,1,
2016,1,28,Peshawar,153,6,Khyber Pakhtunkhwa,1,0
1997,10,20,Unknown,168,11,Unknown,9,
2016,4,10,Nhampassa,137,11,Manica,16,15
2015,2,6,Baghdad,95,10,Baghdad,1,0
2008,10,12,Imphal,92,6,Manipur,1,0
2010,3,17,Unknown,92,6,Manipur,0,0
2014,10,8,Harabhanga,19,6,Khulna,0,0
1973,5,23,Buenos Aires,11,3,Buenos Aires,1,
2007,11,24,Baghdad,95,10,Baghdad,0,0
2003,9,26,Negohot,155,10,West Bank,2,1
2012,8,14,Ghaljo,153,6,Federally Administered Tribal Areas,35,30
1973,7,20,Armagh,603,8,Northern Ireland,1,
2009,1,19,Nazran,167,9,Ingushetia,0,
2016,7,31,Imelda,160,5,Zamboanga Sibugay,0,0
1996,6,27,Gisenyi,168,11,Gisenyi,27,
1987,6,7,Totoro,45,3,Cauca,10,
1985,1,12,Beirut,110,10,Beirut,0,
2011,2,13,La Hormiga,45,3,Putumayo,0,0
2015,6,26,Shahley Nawa,4,6,Uruzgan,6,4
2014,9,14,Daquq district,95,10,Kirkuk,0,0
2009,1,19,Tikrit,95,10,Saladin,0,0
2016,5,21,Arish,60,10,North Sinai,2,0
1970,2,6,Denver,217,1,Colorado,0,0
1990,4,5,Srinagar,92,6,Jammu and Kashmir,1,
2013,3,12,Pabbi,153,6,Khyber Pakhtunkhwa,0,0
1989,1,15,Durban,183,11,KwaZulu-Natal,0,0
1981,4,23,San Salvador,61,2,,1,
2015,4,14,Adraskan district,4,6,Herat,1,0
1994,11,25,Jhang,153,6,Punjab,7,
1988,10,7,Ilobasco,61,2,,0,
2015,6,13,Derna,113,10,Derna,4,1
1996,1,20,Karachi,153,6,Sindh,3,
1985,5,15,Unknown,45,3,Santander,0,
2008,6,21,Paris,69,8,Ile-de-France,0,0
2015,6,7,Bala Buluk district,4,6,Farah,0,0
2015,12,13,Kasik,95,10,Nineveh,,
1977,4,29,Santiago,43,3,Santiago Metropolitan,0,
2006,5,6,Si Mustapha,6,10,Boumerdès,0,0
2013,2,16,Qatif,173,10,Eastern,0,0
1990,6,11,Zahedan,94,10,Sistan and Balochistan,1,
1970,11,16,Belfast,603,8,Northern Ireland,2,
2013,8,28,Mogadishu,182,11,Banaadir,1,0
2006,11,22,Baramulla district,92,6,Jammu and Kashmir,1,0
2015,2,20,Khalis district,95,10,Diyala,2,2
2011,8,21,Zinjibar,228,10,Abyan,10,1
2003,2,21,Koronadal,160,5,South Cotabato,0,0
1985,5,24,Santiago,43,3,Santiago Metropolitan,0,
2010,9,22,Al-Hota,228,10,Shabwah,6,2
1984,7,9,San Salvador,61,2,,0,
1996,6,10,Aruwakalu,186,6,North Western,14,
1996,6,13,Mae Sot,205,5,,0,
2012,10,30,Maruf,4,6,Kandahar,6,0
1996,1,22,Hamburg,75,8,Hamburg,0,
2015,6,16,Aleppo,200,10,Aleppo,1,0
1987,4,16,Corinto,61,2,,,
2007,2,12,Baghdad,95,10,Baghdad,66,0
1986,8,4,Akrotiri,53,8,Limassol,0,
1988,9,7,A Coruna district,185,8,Galicia,0,
1979,1,1,Ajaccio,69,8,Corse-du-Sud,0,
1990,6,9,Batticaloa district,186,6,Eastern,0,
2014,9,30,Datu Piang,160,5,Maguindanao,2,0
2009,7,8,Kulgam,92,6,Jammu and Kashmir,1,0
2016,10,21,Arish,60,10,North Sinai,2,0
1981,12,4,Nueva Concepcion,61,2,,,
2014,7,11,Oleksandrivsk,214,9,Luhansk,1,0
